,geo_A_lat,geo_A_lon,geo_B_lat,geo_B_lon,geo_A_coordinates,geo_B_coordinates,geo_A_id,geo_B_id,id,created,project_id,task_id,user_id,user_ip,finish_time,timeout,calibration,external_uid,media_url,info,task_created,state,quorum,task_calibration,priority_0,n_answers,fav_user_ids
17,40.24513168,45.347694,-60.32757674,3.532958706,"(40.2451316761, 45.3476940045)","(-60.3275767351, 3.53295870645)",18,1084,209658,2024-01-18T16:15:09.791645,761,384219,,47.167.220.10,2024-01-18T16:15:15.115626,,,,,"""B""",2024-01-17T18:58:29.135086,completed,0,0,0,1,
18,-103.9039109,64.01830837,56.42720163,54.22911467,"(-103.903910919, 64.018308373)","(56.4272016276, 54.2291146705)",19,4588,223997,2024-01-31T11:08:47.855053,761,384220,,47.167.220.10,2024-01-31T11:08:57.422563,,,,,"""A""",2024-01-17T18:58:29.264469,completed,0,0,0,1,
19,-106.2819408,64.34501005,17.76179477,-3.368638757,"(-106.28194077100001, 64.34501004970001)","(17.761794768399998, -3.36863875678)",20,2584,209659,2024-01-18T16:15:15.389190,761,384221,,47.167.220.10,2024-01-18T16:20:44.675462,,,,,"""A""",2024-01-17T18:58:29.396436,completed,0,0,0,1,
20,-70.34103399,-15.63242193,67.71056656,67.43842921,"(-70.3410339915, -15.6324219259)","(67.71056655779999, 67.4384292106)",21,22,209822,2024-01-19T22:37:16.831744,761,384222,,47.167.220.10,2024-01-19T22:37:29.117976,,,,,"""A""",2024-01-17T18:58:29.515643,completed,0,0,0,1,
21,67.71056656,67.43842921,-84.19130796,39.78843388,"(67.71056655779999, 67.4384292106)","(-84.19130795560001, 39.788433876199996)",22,367,209660,2024-01-18T16:20:44.977163,761,384223,,47.167.220.10,2024-01-18T16:20:49.234381,,,,,"""A""",2024-01-17T18:58:29.641766,completed,0,0,0,1,
22,-53.85474785,-15.25502991,17.94559299,45.79066937,"(-53.8547478476, -15.255029907)","(17.9455929939, 45.7906693664)",23,891,224221,2024-01-31T12:36:40.612484,761,384224,,47.167.220.10,2024-01-31T12:37:07.486725,,,,,"""A""",2024-01-17T18:58:29.778452,completed,0,0,0,1,
23,68.70778727,54.50891069,-4.599070202,14.24518193,"(68.70778727140001, 54.508910685299995)","(-4.5990702023, 14.245181929700001)",24,4783,209661,2024-01-18T16:20:49.584869,761,384225,,47.167.220.10,2024-01-18T16:21:42.352159,,,,,"""A""",2024-01-17T18:58:29.927924,completed,0,0,0,1,
24,-77.9637078,34.18112337,26.68744195,60.59447332,"(-77.9637078003, 34.181123371300004)","(26.6874419536, 60.594473316400006)",25,1627,209823,2024-01-19T22:37:29.462892,761,384226,,47.167.220.10,2024-01-19T22:37:46.525741,,,,,"""B""",2024-01-17T18:58:30.061612,completed,0,0,0,1,
25,38.59172104,-14.16009012,-55.16444879,-27.86679445,"(38.5917210417, -14.160090123900002)","(-55.1644487929, -27.8667944494)",26,1758,209662,2024-01-18T16:21:42.724163,761,384227,,47.167.220.10,2024-01-18T16:31:50.556572,,,,,"""A""",2024-01-17T18:58:30.181890,completed,0,0,0,1,
26,29.84446708,-28.72608255,-73.94903407,-5.059720892,"(29.844467081399998, -28.7260825532)","(-73.9490340693, -5.0597208919300005)",27,4044,223998,2024-01-31T11:08:57.731747,761,384228,,47.167.220.10,2024-01-31T11:09:10.725629,,,,,"""B""",2024-01-17T18:58:30.318719,completed,0,0,0,1,
